fel.id,fel.file_id,user_glid,src_mcat_id,extracted_at,llm_extracted_json_masked
1036,1029,15332235,20720,1970-01-01 00:00:00.000,"{""metadata"": {""call_type"": {""type"": ""B2B"", ""reason"": ""The buyer is asking for specific types of barbed wire in bulk quantities (800 kg to 1 ton) and mentions needing it for 'Limdi', implying business use or for resale. The seller also mentions that their products are used by companies like 'Reliance' and 'AMNS', reinforcing the B2B nature."", ""evidence"": {""keywords"": [""factory use""], ""order_type"": ""bulk"", ""repeat_buyer"": false, ""buyer_persona"": ""Shop keeper"", ""quantity_scale"": ""High""}}, ""call_purpose"": ""requirement"", ""all_languages"": [""Gujarati""], ""primary_language"": ""Gujarati""}, ""products"": [{""price"": {""gst"": {""value"": 18, ""is_gst_included"": false}, ""value"": 78, ""currency"": ""INR"", ""price_unit"": ""kg""}, ""product_name"": ""Barbed Wire (Tar Wire)"", ""specifications"": [{""name"": ""Coating"", ""unit"": ""GSM"", ""value"": ""120"", ""buyer_requested"": true, ""seller_mentioned"": true}], ""quantity_required"": {""unit"": ""kg"", ""value"": 800}, ""related_categories"": [{""name"": ""Fencing Wire"", ""reason"": ""Barbed wire is a common type of fencing wire, so it fits into this broader category.""}, {""name"": ""GI Barbed Wire"", ""reason"": ""The specification '120 GSM' refers to the galvanization coating, indicating it is a Galvanized Iron (GI) barbed wire.""}], ""is_buyer_interested"": true, ""most_specific_category"": {""name"": ""Barbed Wire"", ""reason"": ""The product is explicitly referred to as 'barbed wire' ('tar wire' in Gujarati), and the buyer asks for a specific type (120 GSM).""}}, {""product_name"": ""Barbed Wire (Tar Wire)"", ""specifications"": [{""name"": ""Coating"", ""unit"": ""GSM"", ""value"": ""275"", ""buyer_requested"": true, ""seller_mentioned"": true}], ""quantity_required"": {""unit"": ""kg"", ""value"": 800}, ""related_categories"": [{""name"": ""Fencing Wire"", ""reason"": ""Barbed wire is a common type of fencing wire, so it fits into this broader category.""}, {""name"": ""GI Barbed Wire"", ""reason"": ""The specification '275 GSM' refers to the galvanization coating, indicating it is a Galvanized Iron (GI) barbed wire.""}], ""is_buyer_interested"": true, ""most_specific_category"": {""name"": ""Barbed Wire"", ""reason"": ""The product is explicitly referred to as 'barbed wire' ('tar wire' in Gujarati), and the buyer asks for a specific type (275 GSM).""}}, {""product_name"": ""Barbed Wire (Tar Wire)"", ""specifications"": [{""name"": ""Type"", ""value"": ""Regular"", ""buyer_requested"": true, ""seller_mentioned"": true}], ""quantity_required"": {""unit"": ""kg"", ""value"": 800}, ""related_categories"": [{""name"": ""Fencing Wire"", ""reason"": ""Barbed wire is a common type of fencing wire, so it fits into this broader category.""}], ""is_buyer_interested"": true, ""most_specific_category"": {""name"": ""Barbed Wire"", ""reason"": ""The product is explicitly referred to as 'barbed wire' ('tar wire' in Gujarati), and the buyer asks for the regular type.""}}], ""next_steps"": {""buyer_next_steps"": [], ""seller_next_steps"": [""To share product photos on WhatsApp""]}, ""buyer_details"": {""buyer_name"": ""dddf08e36b9371fdfe8685067aab8d56a3d532140621d87c46f087dd5506fe43"", ""buyer_location"": {""buyer_city"": ""Limdi""}}, ""seller_details"": {""seller_name"": ""0e8f74058870c68b63f392c6c6e0c0121a8038d7af4c41f7573ff577b8102bf3"", ""seller_location"": {""seller_city"": ""Ahmedabad"", ""seller_locality"": ""Chhatral Plant""}, ""seller_mobile_number"": ""89fa344a8d47a58d6e8f3b20f8f9f2e1e324190bc146123ea6e552ff3febc8b7""}}"
2277747,2294543,30815709,38154,1970-01-01 00:00:00.000,"{""lead_tag"": {""deal_blockers"": [], ""deal_readiness"": ""Warm"", ""deal_readiness_reason"": ""Specific quantity and pricing were discussed for a specific location.""}, ""metadata"": {""call_type"": {""type"": ""B2B"", ""reason"": ""The buyer is inquiring about raw material cost per kg in box quantities, typical of a B2B retail or manufacturing context."", ""evidence"": {""order_type"": {""order_type_category"": ""commercial""}, ""buyer_persona"": {""persona_detail"": ""Buying in boxes suggesting resale intent"", ""persona_category"": ""retailer""}, ""quantity_scale"": ""High""}}, ""buyer_intent"": {""narrative"": ""Wants to buy 2 boxes of steel scrubber material in Sriperumbudur."", ""reasoning"": ""The buyer knows exactly what material they want, the quantity (2 boxes), and provided their location for delivery feasibility."", ""intent_level"": ""High""}, ""call_outcome"": {""category"": ""Pending"", ""conclusion_notes"": ""Pricing provided, buyer said OK (OK OK) but no formal commitment to pay yet.""}, ""call_purpose"": ""requirement"", ""all_languages"": [""Tamil"", ""English""], ""primary_language"": ""Tamil"", ""additional_details"": {""buyer_queries"": [{""query"": ""What is the price per kg for steel scrubber material?"", ""category"": ""Pricing"", ""sequence"": 1}], ""seller_queries"": [{""query"": ""How much quantity do you need?"", ""category"": ""Quantity"", ""sequence"": 2}, {""query"": ""Where is your location?"", ""category"": ""Delivery"", ""sequence"": 3}]}}, ""products"": [{""price"": {""value"": 720, ""currency"": ""INR"", ""price_unit"": ""kg""}, ""product_name"": ""Steel Scrubber Material"", ""specifications"": [{""name"": ""Material"", ""value"": ""Steel"", ""buyer_requested"": true, ""seller_mentioned"": true}], ""quantity_required"": {""unit"": ""box"", ""value"": 2}, ""related_categories"": [{""name"": ""Stainless Steel Scrubber"", ""reason"": ""Steel scrubbers are commonly made of stainless steel for kitchen cleaning applications.""}, {""name"": ""Kitchen Scourer"", ""reason"": ""Steel scrubbers are a type of scourer used primarily for kitchen cleaning.""}], ""is_buyer_interested"": true, ""most_specific_category"": {""name"": ""Steel Wool Scrubber"", ""reason"": ""The buyer specifically requested 'Steel Scrubber' material prices.""}, ""seller_accepts_quantity"": true}], ""next_steps"": {""buyer_next_steps"": [""To evaluate the quoted price of 720 per kg""], ""seller_next_steps"": []}, ""buyer_details"": {""buyer_location"": {""buyer_city"": ""Sriperumbudur""}}, ""seller_details"": {}}"
1188833,1203150,18989867,138541,1970-01-01 00:00:00.000,"{""payment"": {}, ""lead_tag"": {""deal_blockers"": [], ""deal_readiness"": ""Warm"", ""deal_readiness_reason"": ""Expressed a specific product requirement but the call was recorded as a message due to seller unavailability.""}, ""metadata"": {""call_type"": {""type"": ""B2B"", ""reason"": ""The requirement for a processing machine like a garlic peeler typically indicates a business or commercial food processing intent (B2B)."", ""evidence"": {""order_type"": ""Commercial"", ""buyer_persona"": ""Industrial Food Processor"", ""quantity_scale"": ""Low""}}, ""buyer_intent"": {""narrative"": ""Wants to purchase a garlic peeling machine."", ""reasoning"": ""The buyer left a specific voicemail message identifying the exact product needed after the seller didn't answer."", ""intent_level"": ""Medium""}, ""call_purpose"": ""requirement"", ""all_languages"": [""Hindi"", ""English""], ""buyer_conclusion"": {""category"": ""Follow-up"", ""conclusion_notes"": ""Left a voicemail inquiry for a garlic peeling machine (Garlic chhilne wala machine chahiye).""}, ""primary_language"": ""Hindi"", ""additional_details"": {""buyer_queries"": [{""query"": ""I need a garlic peeling machine."", ""category"": ""Requirement"", ""sequence"": 1}], ""seller_queries"": []}, ""intended_application"": ""Garlic Peeling""}, ""products"": [{""product_name"": ""Garlic Peeling Machine (Garlic chhilne wala machine)"", ""specifications"": [], ""related_categories"": [{""name"": ""Peeling Machine"", ""reason"": ""It is a specialized type of peeling equipment for food processing.""}, {""name"": ""Vegetable Peeling Machine"", ""reason"": ""Garlic is a vegetable, and this machine belongs to the vegetable peeling category.""}], ""is_buyer_interested"": true, ""most_specific_category"": {""name"": ""Garlic Peeling Machine"", ""reason"": ""The buyer explicitly mentions needing a 'Garlic chhilne wala machine' (Garlic peeling machine).""}}], ""call_back"": ""callback by In 1 hour - As recorded on voicemail (At the tone, please record your message)"", ""next_steps"": {""buyer_next_steps"": [""To wait for a return call from the seller regarding the machine specifications and price.""], ""seller_next_steps"": [""To call the buyer back to discuss the garlic peeling machine requirement.""]}, ""buyer_details"": {""buyer_name"": ""eecae277a86766d3302e2e9620f706f90836246f3573e728b36c1cfa9d25727b"", ""buyer_location"": {""buyer_city"": ""Silvassa""}}, ""seller_details"": {""seller_name"": ""b097bade29ef6c984ea1c6f28ec5ece165c3765a459f16085d618a97f9a60286"", ""seller_location"": {""seller_city"": ""Ahmedabad""}}, ""minimum_order_quantity"": {}}"
1208238,1222578,18989867,138541,1970-01-01 00:00:00.000,"{""payment"": {}, ""lead_tag"": {""deal_blockers"": [], ""deal_readiness"": ""Hot"", ""deal_readiness_reason"": ""Wants to finalize the setup this month for export business and asked for a senior's contact for immediate details.""}, ""metadata"": {""call_type"": {""type"": ""B2B"", ""reason"": ""The buyer is setting up an industry for garlic export and requires industrial-grade machinery costing lakhs, indicating a B2B transaction."", ""evidence"": {""keywords"": [""Export Business"", ""Industrial Setup"", ""Full Setup""], ""order_type"": ""Commercial"", ""repeat_buyer"": false, ""buyer_persona"": ""Manufacturer"", ""quantity_scale"": ""High""}}, ""buyer_intent"": {""narrative"": ""Wants to set up an industrial garlic peeling unit for export business with 200kg/hr capacity."", ""reasoning"": ""Buyer has a defined export business use-case, specific capacity requirement, and timeline to finalize within the month."", ""intent_level"": ""High""}, ""call_purpose"": ""requirement"", ""all_languages"": [""Hindi"", ""English""], ""buyer_conclusion"": {""category"": ""Pending"", ""conclusion_notes"": ""Awaiting videos and senior's call to finalize (Ek baar senior se baat karwa dijiye)""}, ""primary_language"": ""Hindi"", ""additional_details"": {""buyer_queries"": [{""query"": ""What is the capacity per hour?"", ""category"": ""Specs"", ""sequence"": 1}, {""query"": ""What is the cost for the full setup?"", ""category"": ""Price"", ""sequence"": 2}, {""query"": ""Which model has lower maintenance?"", ""category"": ""Specs"", ""sequence"": 3}], ""seller_queries"": [{""query"": ""How much capacity do you need per hour?"", ""category"": ""Requirement"", ""sequence"": 4}]}, ""intended_application"": ""Industrial Production""}, ""products"": [{""price"": {""value"": 400000, ""currency"": ""INR""}, ""in_stock"": ""in stock"", ""product_name"": ""Chain Model Garlic Peeler"", ""specifications"": [{""name"": ""Model"", ""value"": ""Chain Type"", ""buyer_requested"": false, ""seller_mentioned"": true}, {""name"": ""Capacity"", ""unit"": ""kg/hr"", ""value"": ""200"", ""buyer_requested"": true, ""seller_mentioned"": true}], ""related_categories"": [{""name"": ""Vegetable Peeling Machine"", ""reason"": ""Garlic peelers are a subset of vegetable peeling machinery.""}], ""is_buyer_interested"": true, ""most_specific_category"": {""name"": ""Garlic Peeling Machine"", ""reason"": ""The buyer specifically requested a garlic peeler machine and discussed peeling capacities and machine models (chain/simple).""}, ""quantity_accepted_by_seller"": true}, {""price"": {""value"": 400000, ""currency"": ""INR""}, ""in_stock"": ""in stock"", ""product_name"": ""Simple Model Garlic Peeler"", ""specifications"": [{""name"": ""Model"", ""value"": ""Simple"", ""buyer_requested"": false, ""seller_mentioned"": true}, {""name"": ""Capacity"", ""unit"": ""kg/hr"", ""value"": ""200"", ""buyer_requested"": true, ""seller_mentioned"": true}], ""related_categories"": [{""name"": ""Vegetable Peeling Machine"", ""reason"": ""Machine used for peeling vegetables like garlic.""}], ""is_buyer_interested"": true, ""most_specific_category"": {""name"": ""Garlic Peeling Machine"", ""reason"": ""Mentioned as an alternative model for garlic peeling.""}, ""quantity_accepted_by_seller"": true}], ""call_back"": ""callback by Today - To speak with senior (Seniors se baat karwati hoon)"", ""next_steps"": {""buyer_next_steps"": [""To check the videos and quotation shared by the seller"", ""To decide between chain and simple model""], ""seller_next_steps"": [""To share machine videos and quotation over WhatsApp"", ""To arrange a call with a senior expert for detailed briefing""]}, ""buyer_details"": {""buyer_name"": ""12c73027b8d4b9aa09a5e991443c7a3eb5af4f52a2d0aeaf1688bc31277d9cb5"", ""buyer_location"": {""buyer_city"": ""Vadodara"", ""buyer_state"": ""Gujarat""}}, ""seller_details"": {""seller_name"": ""b097bade29ef6c984ea1c6f28ec5ece165c3765a459f16085d618a97f9a60286"", ""seller_location"": {""seller_city"": ""Ahmedabad""}}, ""minimum_order_quantity"": {""unit"": ""piece"", ""value"": 1}}"
46496,46498,3542998,17008,1970-01-01 00:00:00.000,"{""metadata"": {""call_type"": {""type"": ""B2C"", ""reason"": ""The buyer is inquiring about a product, indicating a potential one-time purchase. There is no information to suggest a recurring order or business use case."", ""evidence"": {""order_type"": ""one-time""}}, ""call_purpose"": ""requirement"", ""all_languages"": [""hindi""], ""primary_language"": ""hindi""}, ""products"": [{""product_name"": ""Lead Screw"", ""specifications"": [], ""related_categories"": [], ""is_buyer_interested"": true, ""most_specific_category"": {""name"": ""Lead Screw"", ""reason"": ""The buyer specifically asked for 'Lead Screw'.""}}], ""next_steps"": {}, ""buyer_details"": {""buyer_name"": ""4026c7be537163676cc62f3dc9dd4564d2f52c167d62c3259a5dfa8af668d6c6"", ""buyer_location"": {""buyer_city"": ""Secunderabad""}, ""buyer_mobile_number"": ""9f436b716cf6c08e4372d82d1c2c6097877cb96518ab899f5bbc7a52c35d7198""}, ""seller_details"": {""seller_name"": ""70327789a444281bf1cb883868ec949170a1ada7f02bb266d24fb74e7aa5f88b"", ""seller_location"": {""seller_city"": ""Pune""}}}"
3128719,3145543,18989867,138541,1970-01-01 00:00:00.000,"{""callback"": ""callback by Tomorrow 11 AM - To discuss machine details (Kal 11 baje call kariye)"", ""lead_tag"": {""deal_blockers"": [], ""deal_readiness"": ""Warm"", ""deal_readiness_reason"": ""Showed clear interest in the Garlic Peeling Machine and agreed to a specific callback tomorrow at 11 AM.""}, ""metadata"": {""call_type"": {""type"": ""B2B"", ""reason"": ""The inquiry is for a food processing machine typically used in commercial or industrial settings."", ""evidence"": {""keywords"": [""Garlic Peeling Machine""], ""order_type"": [""commercial""]}}, ""buyer_intent"": {""narrative"": ""Looking for a Garlic Peeling Machine and will discuss technical details tomorrow."", ""reasoning"": ""The caller inquired specifically about the machine and agreed to a fixed time for a detailed discussion."", ""intent_level"": ""Medium""}, ""call_outcome"": {""category"": ""Follow-up"", ""conclusion_notes"": ""Agreed to talk tomorrow at 11 AM for details (Kal gyarah baje call kariye fir batate hain).""}, ""call_purpose"": ""requirement"", ""all_languages"": [""Hindi"", ""English""], ""primary_language"": ""Hindi"", ""additional_details"": {""buyer_queries"": [{""query"": ""Is the Garlic Peeling Machine available?"", ""category"": ""Availability"", ""sequence"": 1}], ""seller_queries"": [{""query"": ""Where are you calling from?"", ""category"": ""Delivery"", ""sequence"": 2}]}}, ""products"": [{""in_stock"": ""in stock"", ""product_name"": ""Garlic Peeling Machine"", ""related_categories"": [{""name"": ""Vegetable Peeling Machine"", ""reason"": ""Garlic peeling is a sub-category of vegetable peeling.""}, {""name"": ""Peeling Machine"", ""reason"": ""It is a specialized type of peeling equipment.""}], ""is_buyer_interested"": true, ""most_specific_category"": {""name"": ""Garlic Peeling Machine"", ""reason"": ""The buyer specifically inquired about a machine for peeling garlic.""}}], ""next_steps"": {""buyer_next_steps"": [""To call back tomorrow at 11 AM to discuss specifications.""], ""seller_next_steps"": [""To provide machine details during the scheduled call tomorrow.""]}, ""buyer_details"": {}, ""seller_details"": {}}"
1506234,1523007,2816034,14616,1970-01-01 00:00:00.000,"{""lead_tag"": {""deal_blockers"": [{""detail"": ""The specific contact person (Murtuza) was not available to take the call."", ""category"": ""Availability""}], ""deal_readiness"": ""Cold"", ""deal_readiness_reason"": ""The intended recipient was unavailable, and no business discussion occurred during the call.""}, ""metadata"": {""call_type"": {""type"": ""B2C"", ""reason"": ""The call was too brief to classify as B2B or B2C as no business requirement or product was discussed before the call ended."", ""evidence"": {""repeat_buyer"": false}}, ""buyer_intent"": {""narrative"": ""Buyer called to speak with Murtuza but he was not around to discuss any requirements."", ""reasoning"": ""The buyer did not state any specific product requirement or urgency, only asked for the seller by name."", ""intent_level"": ""Low""}, ""call_outcome"": {""category"": ""Follow-up"", ""conclusion_notes"": ""The contact person was unavailable (Murtuza ko phone dena).""}, ""call_purpose"": ""followup"", ""all_languages"": [""Hindi""], ""primary_language"": ""Hindi"", ""additional_details"": {""buyer_queries"": [], ""seller_queries"": []}}, ""products"": [], ""next_steps"": {""buyer_next_steps"": [""To call back when the intended contact person is available""], ""seller_next_steps"": []}, ""buyer_details"": {""buyer_name"": ""187897ce0afcf20b50ba2b37dca84a951b7046f29ed5ab94f010619f69d6e189""}, ""seller_details"": {""seller_name"": ""f3a7bb54afbfff326af325a502eb7fe65da46833cc471a34d99dfe10199cb233""}}"
393686,397920,3542998,17008,1970-01-01 00:00:00.000,"{""payment"": {}, ""metadata"": {""call_type"": {""type"": ""B2B"", ""reason"": ""The buyer specifically mentions needing 'high accuracy for CNC type' applications, indicating a professional or industrial requirement for machinery components rather than a personal or B2C purchase."", ""evidence"": {""keywords"": [""CNC type"", ""high accuracy""], ""repeat_buyer"": false, ""buyer_persona"": ""manufacturer""}}, ""call_purpose"": ""requirement"", ""all_languages"": [""Hindi""], ""primary_language"": ""Hindi""}, ""products"": [{""in_stock"": ""in stock"", ""product_name"": ""Lead Screw"", ""specifications"": [{""name"": ""Accuracy"", ""value"": ""High"", ""buyer_requested"": true, ""seller_mentioned"": true}, {""name"": ""Application Type"", ""value"": ""CNC"", ""buyer_requested"": true, ""seller_mentioned"": false}], ""related_categories"": [{""name"": ""Precision Screws"", ""reason"": ""The buyer explicitly mentioned needing 'high accuracy' for 'CNC type' applications, which are characteristics associated with precision screws.""}], ""is_buyer_interested"": true, ""most_specific_category"": {""name"": ""Lead Screw"", ""reason"": ""The seller explicitly states 'Lead screw banta hai hamare yahan' (Lead screw is made here), confirming it as their product.""}}], ""next_steps"": {}, ""buyer_details"": {}, ""seller_details"": {}}"
3134753,3151579,8510839,78132,1970-01-01 00:00:00.000,"{""payment"": {}, ""lead_tag"": {""deal_blockers"": [], ""deal_readiness"": ""Warm"", ""deal_readiness_reason"": ""Buyer has a specific model requirement and seller is providing contact details to share photos for a quote.""}, ""metadata"": {""call_type"": {""type"": ""B2B"", ""reason"": ""The buyer is calling from a metal industry firm for industrial machinery parts, indicating a B2B requirement for operational maintenance."", ""evidence"": {""keywords"": [""Metal Industry"", ""Voltas"", ""Forklift Parts""], ""order_type"": [""commercial""], ""buyer_persona"": {""persona_detail"": ""Metal industry"", ""persona_category"": ""manufacturer""}, ""quantity_scale"": ""Low""}}, ""buyer_intent"": {""narrative"": ""Seeking a specific forklift gear lever for a Voltas XV 30 model in Chittoor."", ""reasoning"": ""Buyer specifies the exact machine model and brand, indicating a precise technical requirement."", ""intent_level"": ""High""}, ""call_outcome"": {""category"": ""Follow-up"", ""conclusion_notes"": ""Sellers will share company details on WhatsApp for the buyer to send photos and then provide a quote (Main company details bhej deta hoon WhatsApp pe to aap photo bhej dijiye model ke saath).""}, ""call_purpose"": ""requirement"", ""all_languages"": [""Hindi"", ""English""], ""primary_language"": ""English"", ""additional_details"": {""buyer_queries"": [{""query"": ""I need a forklift gear lever for the Voltas XV 30 model."", ""category"": ""Availability"", ""sequence"": 1}], ""seller_queries"": []}, ""intended_application"": ""Industrial Machinery Maintenance""}, ""products"": [{""price"": {}, ""in_stock"": ""in stock"", ""product_name"": ""Forklift Gear Lever"", ""specifications"": [{""name"": ""Compatible Machine Brand"", ""value"": ""Voltas"", ""buyer_requested"": true, ""seller_mentioned"": false}, {""name"": ""Machine Model"", ""value"": ""XV 30"", ""buyer_requested"": true, ""seller_mentioned"": false}], ""related_categories"": [{""name"": ""Forklift Parts"", ""reason"": ""The gear lever is a component part of a forklift system.""}], ""is_buyer_interested"": true, ""most_specific_category"": {""name"": ""Forklift Gears"", ""reason"": ""The product requested is a gear lever specifically for a forklift.""}}], ""next_steps"": {""buyer_next_steps"": [""To send picture and model details on WhatsApp once contact is received""], ""seller_next_steps"": [""To send company details on WhatsApp"", ""To provide a quotation after receiving photos""]}, ""buyer_details"": {""buyer_location"": {""buyer_city"": ""Chittoor"", ""buyer_state"": ""Andhra Pradesh""}}, ""seller_details"": {""seller_name"": ""cca7f49bdf1ff5fcd6e8b3e8fcf8657a5eb8154ce3613e9e7b1a7bb21d59a5e8""}}"
3146876,3163704,12842665,1794,1970-01-01 00:00:00.000,"{""payment"": {}, ""callback"": ""callback by Today 1 PM - To confirm stock (Dobara call karo)"", ""lead_tag"": {""deal_blockers"": [{""detail"": ""High transportation cost from Nangloi to Dadri"", ""category"": ""Location""}], ""deal_readiness"": ""Cold"", ""deal_readiness_reason"": ""Buyer decided to check local shops because delivery cost is higher than product value.""}, ""metadata"": {""call_type"": {""type"": ""B2C"", ""reason"": ""The buyer's requirement is for a very small quantity of 4 boards for what appears to be personal or local use, and the seller suggests checking a local shop instead."", ""evidence"": {""keywords"": [""MDF Board"", ""Estimate"", ""Near by""], ""order_type"": [""one-time""], ""repeat_buyer"": false, ""quantity_scale"": ""Low""}}, ""buyer_intent"": {""narrative"": ""Wants 4 units of 6mm MDF boards but is discouraged by distance."", ""reasoning"": ""Buyer only needs a small quantity (4 boards) and is looking for a low-cost solution, planning to buy locally due to high freight costs."", ""intent_level"": ""Low""}, ""call_outcome"": {""category"": ""Lost"", ""conclusion_notes"": ""Will check local rates (Near by dekh lo... theek hai bhaiya near by poochti hoon)""}, ""call_purpose"": ""requirement"", ""all_languages"": [""Hindi"", ""English""], ""primary_language"": ""Hindi"", ""additional_details"": {""buyer_queries"": [{""query"": ""What is the estimate for one board excluding delivery?"", ""category"": ""Pricing"", ""sequence"": 3, ""answer_by_seller"": ""550 Rupees per board (without delivery).""}], ""seller_queries"": [{""query"": ""What thickness do you need and how many boards?"", ""category"": ""Specifications"", ""sequence"": 1, ""answer_by_buyer"": ""6mm thickness and 4 boards are required.""}, {""query"": ""Where are you calling from?"", ""category"": ""Location"", ""sequence"": 2, ""answer_by_buyer"": ""We are calling from Dadri, Greater Noida.""}]}, ""intended_application"": ""Home Use""}, ""products"": [{""price"": {""value"": 550, ""currency"": ""INR"", ""price_unit"": ""piece"", ""delivery_charge"": {""is_delivery_charge_included"": false}, ""buyer_price_reaction"": {""quote"": ""Theek hai bhaiya"", ""category"": ""Accepted""}}, ""in_stock"": ""in stock"", ""product_name"": ""MDF Board"", ""specifications"": [{""name"": ""Thickness"", ""unit"": ""mm"", ""value"": ""6"", ""buyer_requested"": true, ""seller_mentioned"": false}, {""name"": ""Total Quantity"", ""unit"": ""pieces"", ""value"": ""4"", ""buyer_requested"": false, ""seller_mentioned"": false}], ""quantity_required"": {""unit"": ""pieces"", ""value"": 4}, ""related_categories"": [{""name"": ""Plywoods"", ""reason"": ""MDF boards are a common substitute and related category to plywood for furniture and interiors.""}], ""is_buyer_interested"": true, ""seller_accepts_quantity"": true}], ""next_steps"": {""buyer_next_steps"": [""To check price in local shops near Dadri""], ""seller_next_steps"": []}, ""buyer_details"": {""buyer_name"": ""e2990018d974642efd74ae9c9ea037f9d462d7591372973766c22b111b55e8fc"", ""buyer_location"": {""buyer_city"": ""Greater Noida"", ""buyer_locality"": ""Dadri""}}, ""seller_details"": {""seller_name"": ""d9becfca41ed8d07a394cf422e945eb6c0f87dcc5c07d463be47bdd19546bdfd"", ""seller_location"": {""seller_city"": ""New Delhi"", ""seller_locality"": ""Nandloi""}}}"
